station_number,station_name,station_type,easting,northing,ngr,local_authority,sampling_datetime,sampling_reason,reason_group,sampling_medium,sampling_mechanism,parameter_shortname,parameter_name,sample_value,coded_value,unit_symbol,method_name,sampling_year
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-08-09 13:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-09-22 09:02:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,13.9,,°C,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-09-22 09:02:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,61,pH,7.4,,scalar,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-09-22 09:02:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-09-22 09:02:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-01-27 11:11:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,6.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-01-27 11:11:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",6.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-01-27 11:11:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,61,pH,7.0,,scalar,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-01-27 11:11:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,7.4,,°C,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-02-20 09:03:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,61,pH,6.9,,scalar,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-02-20 09:03:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,9.7,,°C,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-02-20 09:03:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-02-20 09:03:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-02-23 11:03:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,5.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-02-23 11:03:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,61,pH,7.1,,scalar,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-02-23 11:03:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,8.4,,°C,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-02-23 11:03:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-03-07 12:06:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,5.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-03-07 12:06:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,61,pH,7.1,,scalar,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-03-07 12:06:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,8.3,,°C,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-03-07 12:06:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-04-18 10:06:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,11.0,,°C,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-04-18 10:06:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",7.0,,mg/l,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-04-18 10:06:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,61,pH,7.1,,scalar,Externally Supplied Data,2023
S10037,PONTNEDDFECHAN STW,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,290340,207519,SN9034007519,POWYS-POWYS,2023-04-18 10:06:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-01-13 08:46:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,8.2,,°C,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-01-13 08:46:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,111,Ammoniacal Nitrogen as N,0.2,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-01-13 08:46:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-01-13 08:46:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-05-15 09:21:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,12.0,,°C,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-05-15 09:21:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,111,Ammoniacal Nitrogen as N,0.2,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-05-15 09:21:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-05-15 09:21:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-16 08:12:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,111,Ammoniacal Nitrogen as N,0.34,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-16 08:12:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,15.4,,°C,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-16 08:12:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-06-16 08:12:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",7.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-07-19 09:43:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,16.2,,°C,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-07-19 09:43:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,111,Ammoniacal Nitrogen as N,0.2,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-07-19 09:43:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-07-19 09:43:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-08-07 09:45:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,14.9,,°C,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-08-07 09:45:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-08-07 09:45:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,111,Ammoniacal Nitrogen as N,0.2,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-08-07 09:45:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-18 10:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,15.6,,°C,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-18 10:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",6.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-18 10:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,111,Ammoniacal Nitrogen as N,0.2,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-09-18 10:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-02-20 10:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,8.5,,°C,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-02-20 10:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,111,Ammoniacal Nitrogen as N,0.2,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-02-20 10:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-02-20 10:20:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-25 07:29:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,8.4,,°C,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-25 07:29:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,111,Ammoniacal Nitrogen as N,0.2,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-25 07:29:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-03-25 07:29:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-04-08 07:59:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,7.9,,°C,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-04-08 07:59:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,111,Ammoniacal Nitrogen as N,0.2,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-04-08 07:59:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-04-08 07:59:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-04-19 12:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,76,Temperature of Water,10.7,,°C,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-04-19 12:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,111,Ammoniacal Nitrogen as N,0.2,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-04-19 12:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,85,BOD : 5 Day ATU,4.0,,mg/l,Externally Supplied Data,2023
S10067,HIRWAUN STW FE,SEWAGE DISCHARGES - FINAL/TREATED EFFLUENT - WATER COMPANY,293471,206750,SN9347106750,CASTELL-NEDD PORT TALBOT- NEATH PORT TALBOT,2023-04-19 12:23:00,WATER QUALITY OPERATOR SELF MONITORING COMPLIANCE DATA,Compliance monitoring,FINAL SEWAGE EFFLUENT,SPOT,135,"Solids, Suspended at 105 C",5.0,,mg/l,Externally Supplied Data,2023
S17035,R CYNON U/S HIRWAUN,FRESHWATER - UNSPECIFIED,295376,206423,SN9537606423,RHONDDA CYNON TAF-RHONDDA CYNON TAF,2023-02-16 12:20:00,PLANNED INVESTIGATION (LOCAL MONITORING),Planned environmental monitoring,RIVER / RUNNING SURFACE WATER,SPOT,111,Ammoniacal Nitrogen as N,0.0112,,mg/l,Low,2023
